id;naam;subdomein;label;Fase;Competentie-tekst
ict;Praktische ICT-vaardigheden;Digitale technologie;Impact van digitale technologie;1;Beseffen dat veel apparaten, speelgoed en robots een computer bevatten.
ict;Praktische ICT-vaardigheden;Digitale technologie;Impact van digitale technologie;2;Beseffen dat veel apparaten, speelgoed en robots een computer bevatten.
ict;Praktische ICT-vaardigheden;Digitale technologie;Impact van digitale technologie;3;Bespreken van belang en impact van digitale technologie op allerlei terreinen in onze huidige samenleving
ict;Praktische ICT-vaardigheden;Digitale technologie;Impact van digitale technologie;3;Realiseren dat digitale technologie altijd in ontwikkeling is en dat er steeds nieuwe toepassingen voor gecreëerd kunnen worden  
ict;Praktische ICT-vaardigheden;Digitale technologie;Impact van digitale technologie;3;Beseffen dat via digitale technologie wereldwijd data wordt gedeeld en opgeslagen en dat dit veiligheidsrisico’s kent  
ict;Praktische ICT-vaardigheden;Digitale technologie;Impact van digitale technologie;3;Realiseren dat het gebruik van digitale technologie zoals het internet en mobiele netwerken nooit gratis is. Je betaalt met geld of met data  
ict;Praktische ICT-vaardigheden;Digitale technologie;Gebruik van digitale technologie;1;Samen verkennen waar in de  omgeving digitale technologie wordt gebruikt  
ict;Praktische ICT-vaardigheden;Digitale technologie;Gebruik van digitale technologie;2;Bespreken van voorbeelden van  digitale technologie in het dagelijks leven van mensen (bijv. tv kijken via streamingsdiensten, reizen met ov-chipkaart, contactloos betalen, kopen en verkopen via internet)  
ict;Praktische ICT-vaardigheden;Digitale technologie;Gebruik van digitale technologie;2;Verkennen voor welke doelen digitale netwerken worden gebruikt  
ict;Praktische ICT-vaardigheden;Digitale technologie;Gebruik van digitale technologie;3;Exploreren van toepassingen van digitale technologie in het dagelijks  leven van mensen zoals bij wonen, werken, vrije tijd, reizen en contact met de overheid  
ict;Praktische ICT-vaardigheden;Digitale technologie;Gebruik van digitale technologie;3;Verkennen hoe digitale technologie het mogelijk maakt om wereldwijd informatie te delen en te handelen in producten en diensten  
ict;Praktische ICT-vaardigheden;Digitale technologie;Gebruik van digitale technologie;3;Verkennen van functies van digitale netwerken in verschillende contexten (persoonlijke communicatie, onderwijs, professionele communicatie en globale communicatie)  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;1;Herkennen van verschillende digitale apparaten zoals smartphone, tablet, computer of  speelgoed  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;1;Kennismaken met een aantal standaard handelingen bij digitale apparaten zoals aansluiten, aanzetten en uitzetten  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;1;Werken met een digitaal apparaat  d.m.v. aaanraakscherm, muis en/of toetsenbord  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;1;Verkennen van een toetsenbord (letters, cijfers, tekens en speciale  toetsen)  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;1;Zorgvuldig omgaan met digitale  apparaten als tablet en computer  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;2;Inventariseren van digitale apparaten waarbij het gebruik  vraagt om praktische ict-vaardigheden  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;2;Aansluiten en werken met  verschillende digitale apparaten  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;2;Vaardig omgaan met een  toetsenbord  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;2;Beseffen dat een digitaal netwerk wordt gevormd door aan  elkaar gekoppelde digitale apparaten die data met elkaar uitwisselen en bewaren  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;3;Ontdekken wat het gebruik van een digitaal apparaat vraagt aan praktische ict-vaardigheden  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;3;Kennisnemen van mogelijke functies van een computer: rekenen, archiveren, representeren en  spelen  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;3;Kennisnemen van het besturings-systeem van digitale apparaten  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;3;Herkennen van specifieke kenmerken van digitale apparaten en kiezen van een geschikt  apparaat voor een bepaald doel  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Werken met digitale apparaten;3;Aansluiten van een digitaal apparaat op internet via wifi of kabel  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Aandacht voor welzijn bij het gebruik van digitale apparaten ;1;Aandacht hebben voor houding van lichaam en ogen bij het werken met digitale apparaten  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Aandacht voor welzijn bij het gebruik van digitale apparaten ;2;Beseffen van het belang van een goede houding (lichaam en ogen) bij gebruik van digitale apparaten  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Aandacht voor welzijn bij het gebruik van digitale apparaten ;2;Realiseren dat het gebruik van digitale technologie invloed kan hebben op je gezondheid en welzijn  
ict;Praktische ICT-vaardigheden;Digitale apparaten;Aandacht voor welzijn bij het gebruik van digitale apparaten ;3;Beseffen dat schermtijd en langdurig gebruik van digitale  apparaten invloed heeft op de  gezondheid en het welzijn van de mens zoals ogen, lichaamshouding of slaap  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;1;Starten, afsluiten en wisselen van apps op een digitaal apparaat  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;1;Kennismaken met spelletjes en educatieve apps op verschillende digitale apparaten  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;1;Elkaar helpen bij het gebruik van een app  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;1;Bespreken dat een app soms vraagt om toegang via een (al dan niet visueel) wachtwoord en hoe daar verstandig mee om te gaan  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;2;Gebruiken van apps en software op digitale apparaten  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;2;Gebruiken van educatieve programma's bij het leren  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;2;Aanmaken van een account als dat nodig is en inloggen binnen bepaalde te gebruiken software  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;2;Omgaan met mappen/bestanden/documenten (bestandsbeheer)  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;2;Bespreken van het belang van veilige wachtwoorden bij apps en software en hoe daar verstandig mee om te gaan  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;3;Gebruiken van apps en software op digitale apparaten  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;3;Omgaan met verschillende bestandstypen en bestanden (opslaan/terugvinden, kopiëren/verwijderen) op verschillende opslagmedia  
ict;Praktische ICT-vaardigheden;Apps en software;Apps en software gebruiken en beheren;3;Downloaden, installeren, gebruiken en verwijderen van apps  
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruiken van apps voor browsen op internet, communiceren en samenwerken ;1;Kennismaken met basisfunctionaliteiten van een internetbrowser
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruiken van apps voor browsen op internet, communiceren en samenwerken ;1;Kennismaken met eenvoudige communicatie-apps  
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruiken van apps voor browsen op internet, communiceren en samenwerken ;1;Samen ontdekken van mogelijkheden om online samen te werken
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruiken van apps voor browsen op internet, communiceren en samenwerken ;2;Gebruiken van een internetbrowser  
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruiken van apps voor browsen op internet, communiceren en samenwerken ;2;Verkennen van passende communicatie-apps om berichten uit te wisselen met anderen  
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruiken van apps voor browsen op internet, communiceren en samenwerken ;2;Gebruiken van een app om samen te werken
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruiken van apps voor browsen op internet, communiceren en samenwerken ;3;Gebruiken van een communicatie- app die past bij een bepaald communicatiedoel
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruiken van apps voor browsen op internet, communiceren en samenwerken ;3;Exploreren van de opbouw van verschillende websites en van de kenmerkende elementen
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruiken van apps voor browsen op internet, communiceren en samenwerken ;3;Samenwerken, organiseren en uitvoeren in een digitale samenwerkings-omgeving
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruiken van apps voor browsen op internet, communiceren en samenwerken ;3;Bewust zijn van het gebruik van veilige wachtwoorden bij het aanmaken van een account op een website of app
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruik van apps voor werken met tekeningen, tekst, audio, video, presentaties en spreadsheets;1;Gebruiken van eenvoudige tekenapps en apps om afbeeldingen te bewerken
ict;Praktische ICT-vaardigheden;Apps en software;Functioneel gebruik van apps voor werken met tekeningen, tekst, audio, video, presentaties en spreadsheets;1;Werken met een eenvoudige app voor tekstverwerking
